id,主场,客场,比赛,时间,主场得分,客场得分,胜赔率,平赔率,负赔率,胜预测值,平预测值,负预测值
502487,阿德莱德联,惠灵顿凤凰,澳超,2022-01-01 16:45,4.0,0.0,2.05,3.50,3.30,33,32,35
500783,阿森纳,曼城,英超,2022-01-01 20:30,1.0,2.0,6.00,4.33,1.50,3,28,69
500792,沃特福德,热刺,英超,2022-01-01 23:00,0.0,1.0,4.50,3.50,1.80,14,30,56
500786,水晶宫,西汉姆联,英超,2022-01-02 01:30,2.0,3.0,3.40,3.40,2.10,32,41,27
500387,赫塔菲,皇马,西甲,2022-01-02 21:00,1.0,0.0,6.00,3.90,1.57,29,17,54
501651,布城,米尔沃尔,英冠,2022-01-02 21:00,3.0,2.0,3.40,3.10,2.20,30,43,27
500784,布伦特福德,阿斯顿维拉,英超,2022-01-02 22:00,2.0,1.0,2.88,3.10,2.60,26,34,40
501646,布莱克本,哈德斯,英冠,2022-01-02 22:00,0.0,0.0,2.00,3.40,3.60,41,31,28
501652,西布罗姆,卡迪夫城,英冠,2022-01-02 22:00,1.0,1.0,1.60,3.70,5.80,52,29,19
2214352,南锡,雷恩,法国杯,2022-01-02 23:00,1.0,1.0,6.00,4.00,1.44,20,40,40
2214349,巴斯蒂亚,克莱蒙,法国杯,2022-01-02 23:00,2.0,0.0,3.20,3.20,2.10,32,41,27
2214351,蒙彼利埃,斯特拉斯堡,法国杯,2022-01-02 23:00,1.0,0.0,-,-,-,nan,nan,nan
500386,埃尔切,格拉纳达,西甲,2022-01-02 23:15,0.0,0.0,2.30,3.10,3.30,20,41,39
500785,切尔西,利物浦,英超,2022-01-03 00:30,2.0,2.0,2.45,3.30,2.88,36,31,33
2214355,奎维利,摩纳哥,法国杯,2022-01-03 01:30,1.0,3.0,6.50,3.90,1.44,27,16,57
502161,维泽拉,贝伦SAD,葡超,2022-01-03 02:30,2.0,0.0,2.38,3.00,3.20,33,35,32
500389,奥萨苏纳,毕尔巴鄂,西甲,2022-01-04 04:00,1.0,3.0,2.90,3.00,2.63,26,35,39
502160,通德拉,莫雷拉人,葡超,2022-01-04 04:15,2.0,1.0,2.45,3.00,3.00,51,25,24
500385,加的斯,塞维利亚,西甲,2022-01-04 04:15,0.0,1.0,5.80,3.50,1.65,10,30,60
522849,蓬费拉迪纳,西班牙人,国王杯,2022-01-05 04:00,1.0,1.0,3.40,3.20,2.25,20,34,46
2213969,朗斯,里尔,法国杯,2022-01-05 04:00,2.0,2.0,2.60,3.10,2.60,39,28,33
