id,胜,平,负,胜概率,平概率,负概率,返概率,凯利走势1,凯利走势2,凯利走势3
500200,1.74,3.83,4.7,54.81,24.90,20.29,95.37,0.95,0.95,0.95
529057,5.59,3.39,1.68,16.73,27.59,55.68,93.54,0.94,0.94,0.94
500197,2.23,3.5,3.19,42.80,27.27,29.92,95.45,0.95,0.95,0.95
528051,2.73,3.04,2.63,34.06,30.59,35.35,92.98,0.93,0.93,0.93
531065,2.23,3.12,3.28,41.76,29.85,28.39,93.13,0.93,0.93,0.93
500193,8.28,5.28,1.35,11.49,18.02,70.49,95.16,0.95,0.95,0.95
500199,1.76,3.76,4.63,54.11,25.33,20.57,95.23,0.95,0.95,0.95
500195,1.75,3.65,4.94,54.53,26.15,19.32,95.44,0.95,0.95,0.95
500196,1.59,4.37,5.18,59.85,21.78,18.37,95.16,0.95,0.95,0.95
500194,1.66,3.96,5.04,57.19,23.97,18.84,94.94,0.95,0.95,0.95
500201,3.28,3.34,2.14,28.45,27.94,43.61,93.32,0.93,0.93,0.93
529054,5.13,3.69,1.66,18.25,25.37,56.39,93.60,0.94,0.94,0.94
500192,1.53,4.3,6.14,62.31,22.17,15.53,95.33,0.95,0.95,0.95
532666,18.78,6.99,1.14,4.96,13.33,81.71,93.15,0.93,0.93,0.93
501305,2.92,3.22,2.39,31.96,28.99,39.05,93.33,0.93,0.93,0.93
501310,4.61,3.63,1.74,20.33,25.82,53.86,93.71,0.94,0.94,0.94
500968,1.52,4.18,6.39,62.44,22.71,14.85,94.91,0.95,0.95,0.95
500584,1.78,3.83,4.31,53.26,24.75,21.99,94.79,0.95,0.95,0.95
500394,4.64,3.9,1.73,20.53,24.42,55.05,95.24,0.95,0.95,0.95
500589,3.47,3.42,2.12,27.39,27.79,44.83,95.03,0.95,0.95,0.95
500583,3.92,4.01,1.83,24.27,23.73,52.00,95.15,0.95,0.95,0.95
500967,2.61,3.42,2.63,36.29,27.70,36.01,94.72,0.95,0.95,0.95
500585,1.73,3.7,4.86,54.84,25.64,19.52,94.87,0.95,0.95,0.95
500398,1.35,5.27,8.52,70.69,18.11,11.20,95.43,0.95,0.95,0.95
501307,1.73,3.77,4.4,53.99,24.78,21.23,93.41,0.93,0.93,0.93
500399,1.86,3.47,4.47,51.23,27.46,21.32,95.28,0.95,0.95,0.95
500586,1.52,4.44,5.95,62.59,21.43,15.99,95.13,0.95,0.95,0.95
500395,2.14,3.23,3.63,44.40,29.42,26.18,95.02,0.95,0.95,0.95
500400,1.55,3.63,7.67,61.38,26.21,12.40,95.15,0.95,0.95,0.95
500396,1.63,3.63,6.2,58.41,26.23,15.36,95.21,0.95,0.95,0.95
500204,2.27,3.15,3.39,41.84,30.15,28.01,94.97,0.95,0.95,0.95
500970,4.47,3.75,1.79,21.33,25.42,53.25,95.33,0.95,0.95,0.95
500210,4.63,3.87,1.73,20.52,24.55,54.92,95.02,0.95,0.95,0.95
500209,2.91,3.34,2.46,32.74,28.53,38.73,95.28,0.95,0.95,0.95
500588,3.27,3.35,2.24,29.10,28.41,42.49,95.17,0.95,0.95,0.95
500966,2.39,3.07,3.21,39.63,30.86,29.51,94.73,0.95,0.95,0.95
500207,1.41,4.71,7.74,67.50,20.21,12.30,95.17,0.95,0.95,0.95
500202,2.96,3.35,2.42,32.19,28.44,39.37,95.28,0.95,0.95,0.95
500392,3.91,3.26,2.05,24.35,29.21,46.44,95.21,0.95,0.95,0.95
500206,1.38,5.09,7.91,69.18,18.76,12.07,95.46,0.95,0.95,0.95
500208,3.05,3.24,2.41,31.18,29.35,39.46,95.11,0.95,0.95,0.95
500587,2.72,3.45,2.53,34.92,27.53,37.54,94.99,0.95,0.95,0.95
502617,1.24,5.63,10.82,74.91,16.50,8.59,92.89,0.93,0.93,0.93
502618,2.89,3.6,2.16,31.84,25.56,42.60,92.02,0.92,0.92,0.92
502616,1.69,3.83,4.34,54.63,24.10,21.27,92.32,0.92,0.92,0.92
502622,1.73,3.7,4.33,53.56,25.04,21.40,92.66,0.93,0.93,0.93
500590,1.46,4.91,6.09,65.06,19.35,15.60,94.98,0.95,0.95,0.95
502621,2.96,3.49,2.17,31.13,26.40,42.46,92.15,0.92,0.92,0.92
502619,2.55,3.42,2.53,36.32,27.08,36.60,92.61,0.93,0.93,0.93
500794,2.03,3.33,3.93,47.03,28.67,24.29,95.48,0.95,0.95,0.95
501454,3.74,3.46,1.95,25.01,27.03,47.96,93.53,0.94,0.94,0.94
501455,2.57,3.28,2.65,36.32,28.46,35.22,93.34,0.93,0.93,0.93
504920,3.27,2.78,2.44,28.44,33.45,38.11,92.99,0.93,0.93,0.93
501153,2.48,3.22,2.93,38.22,29.43,32.35,94.78,0.95,0.95,0.95
504949,6.16,3.28,1.68,15.28,28.70,56.02,94.12,0.94,0.94,0.94
500976,1.75,3.7,4.79,54.40,25.73,19.87,95.20,0.95,0.95,0.95
500595,1.66,3.77,5.49,57.38,25.27,17.35,95.26,0.95,0.95,0.95
500980,3.94,3.67,1.91,24.18,25.95,49.87,95.25,0.95,0.95,0.95
500977,1.24,6.33,10.93,76.37,14.96,8.66,94.70,0.95,0.95,0.95
500591,1.93,3.44,4.1,49.22,27.61,23.17,94.99,0.95,0.95,0.95
500793,2.73,3.5,2.6,35.34,27.56,37.10,96.47,0.96,0.96,0.96
500797,1.64,4.1,5.18,58.25,23.30,18.44,95.54,0.96,0.96,0.96
500802,2.35,3.11,3.32,40.59,30.67,28.73,95.39,0.95,0.95,0.95
500594,5.46,4.07,1.61,17.44,23.40,59.16,95.24,0.95,0.95,0.95
